word,definition
A-A-LO,"v. 5th conj. of alo. To dodge often; to dodge, as one does a stone."
A-A-LO,"v. 5th conj. of alo. To dodge often; to dodge, as one does a stone."
aalolo,"s. Aa and lolo, the brain. A nerve; aalolo hoao. Anat. 7. Aalolo lohe, the auditory nerve.<br> Nā Lepili <br> Tags: anatomy <br> Papa helu loli"
aalolo,"s. Aa and lolo, the brain. A nerve; aalolo hoao. Anat. 7. Aalolo lohe, the auditory nerve.<br> Nā Lepili <br> Tags: anatomy <br> Papa helu loli"
A-A-LU,"s. Dim. of alu. A ravine; a small brook, valley or ravine."
A-A-LU,"s. Dim. of alu. A ravine; a small brook, valley or ravine."
word,he huaolelo.<br> Papa helu loli
word,he huaolelo.<br> Papa helu loli
a,"article, he, kahi, kekahi.<br> Papa helu loli"
a,"article, he, kahi, kekahi.<br> Papa helu loli"
a,"s., Name of the Hawaiian alphabet; also the first sheet on which it was printed.<br> Nā Lepili <br> Tags: grammar <br> Papa helu loli"
a,"s., Name of the Hawaiian alphabet; also the first sheet on which it was printed.<br> Nā Lepili <br> Tags: grammar <br> Papa helu loli"
a,"s., Name of a small fish that bites at a hook; called also aakimakau.<br> Nā Lepili <br> Tags: fauna fish <br> Papa helu loli"
a,"s., Name of a small fish that bites at a hook; called also aakimakau.<br> Nā Lepili <br> Tags: fauna fish <br> Papa helu loli"
a,"s., Name of a large sea bird often caught by natives; also called aaianuheakane, feathers white.<br> Nā Lepili <br> Tags: fauna birds <br> Papa helu loli"
a,"s., Name of a large sea bird often caught by natives; also called aaianuheakane, feathers white.<br> Nā Lepili <br> Tags: fauna birds <br> Papa helu loli"
a,"s., Name of the white spots that appear in poi when pounding.<br> Nā Lepili <br> Tags: kalo foods <br> Papa helu loli"
a,"s., Name of the white spots that appear in poi when pounding.<br> Nā Lepili <br> Tags: kalo foods <br> Papa helu loli"
a,"s., Name of broken lava from the volcano; probably so called from being burnt. See A, v., Ke a o Kaniku a me Napuuapele.<br> Nā Lepili <br> Tags: geology <br> Papa helu loli"
a,"s., Name of broken lava from the volcano; probably so called from being burnt. See A, v., Ke a o Kaniku a me Napuuapele.<br> Nā Lepili <br> Tags: geology <br> Papa helu loli"
a,"s., The name of an instrument made of smooth bone, and used formerly for piercing or killing an unborn child. It was called the a oo, the piercing a; also a koholua. See koholua.<br> Nā Lepili <br> Tags: medicine <br> Papa helu loli"
a,"s., The name of an instrument made of smooth bone, and used formerly for piercing or killing an unborn child. It was called the a oo, the piercing a; also a koholua. See koholua.<br> Nā Lepili <br> Tags: medicine <br> Papa helu loli"
a,"adj., Fiery; burning; he lua a, a fiery pit.<br> Papa helu loli"
a,"adj., Fiery; burning; he lua a, a fiery pit.<br> Papa helu loli"
